"","x"
"712","10641"
"713","190"
"714","221078"
"715","79730"
"716","152195"
"717","84304"
"718","283927"
"719","4938"
"720","79991"
"721","132299"
"722","440836"
"723","4968"
"724","116448"
"725","79290"
"726","127700"
"727","200931"
"728","5017"
"729","5023"
"730","9127"
"731","27334"
"732","5032"
"733","9934"
"734","286530"
"735","135138"
"736","5051"
"737","5064"
"738","84612"
"739","84875"
"740","10039"
"741","80714"
"742","57326"
"743","54039"
"744","57060"
"745","56137"
"746","84333"
"747","27344"
"748","9159"
"749","5138"
"750","5158"
"751","149420"
"752","64236"
"753","23590"
"754","57595"
"755","5192"
"756","92960"
"757","5239"
"758","54858"
"759","5252"
"760","5256"
"761","254295"
"762","84457"
"763","9796"
"764","9463"
"765","5287"
"766","65018"
"767","54103"
"768","138429"
"769","11142"
"770","11145"
"771","5321"
"772","8605"
"773","8398"
"774","51316"
"775","5333"
"776","5336"
"777","5334"
"778","345557"
"779","22874"
"780","440503"
"781","51090"
"782","10654"
"783","84968"
"784","10908"
"785","5435"
"786","171568"
"787","5442"
"788","64091"
"789","27068"
"790","8612"
"791","8541"
"792","8495"
"793","5493"
"794","132160"
"795","5502"
"796","5521"
"797","28227"
"798","27351"
"799","5582"
"800","5618"
"801","553158"
"802","5639"
"803","80863"
"804","146547"
"805","23550"
"806","5699"
"807","9051"
"808","5728"
"809","80142"
"810","5745"
"811","5753"
"812","401494"
"813","5777"
"814","5790"
"815","5799"
"816","5801"
"817","138428"
"818","79037"
"819","149628"
"820","5859"
"821","84109"
"822","81890"
"823","203069"
"824","64284"
"825","25837"
"826","9609"
"827","10966"
"828","79874"
"829","5886"
"830","135250"
"831","10742"
"832","10266"
"833","10268"
"834","5909"
"835","11069"
"836","5920"
"837","64926"
"838","158158"
"839","10235"
"840","125950"
"841","5932"
"842","10180"
"843","5950"
"844","1827"
"845","10231"
"846","1102"
"847","9985"
"848","28954"
"849","85021"
"850","79785"
"851","85004"
"852","130132"
"853","56963"
"854","9104"
"855","8786"
"856","25807"
"857","9028"
"858","158787"
"859","196383"
"860","83547"
"861","146206"
"862","6038"
"863","55819"
"864","26001"
"865","84900"
"866","55328"
"867","6097"
"868","9501"
"869","6136"
"870","6137"
"871","6146"
"872","6159"
"873","56475"
"874","6206"
"875","6222"
"876","6228"
"877","6235"
"878","6189"
"879","6195"
"880","83694"
"881","3921"
"882","84881"
"883","51187"
"884","284654"
"885","27156"
"886","6252"
"887","64108"
"888","8698"
"889","6297"
"890","401474"
"891","148418"
"892","25813"
"893","10284"
"894","79966"
"895","256380"
"896","11280"
"897","6324"
"898","6329"
"899","90507"
"900","83482"
"901","10807"
"902","23753"
"903","6389"
"904","25956"
"905","6398"
"906","8991"
"907","6402"
"908","6403"
"909","7869"
"910","223117"
"911","710"
"912","23544"
"913","9814"
"914","8227"
"915","129049"
"916","9905"
"917","6449"
"918","10045"
"919","63898"
"920","22941"
"921","6461"
"922","23729"
"923","55164"
"924","26037"
"925","55423"
"926","122060"
"927","6504"
"928","10723"
"929","162515"
"930","6509"
"931","51310"
"932","5002"
"933","9376"
"934","57419"
"935","10166"
"936","79085"
"937","114789"
"938","81894"
"939","123096"
"940","283130"
"941","29988"
"942","64116"
"943","54946"
"944","124935"
"945","80736"
"946","55244"
"947","55652"
"948","83959"
"949","9368"
"950","285195"
"951","200172"
"952","139065"
"953","6604"
"954","55512"
"955","342527"
"956","6621"
"957","283596"
"958","735301"
"959","6638"
"960","254122"
"961","8835"
"962","8470"
"963","6653"
"964","55553"
"965","80320"
"966","9552"
"967","26206"
"968","132671"
"969","202051"
"970","132851"
"971","503542"
"972","90864"
"973","58472"
"974","6345"
"975","6767"
"976","8869"
"977","55808"
"978","27090"
"979","55620"
"980","6770"
"981","6776"
"982","261729"
"983","114790"
"984","55351"
"985","6812"
"986","6813"
"987","27284"
"988","6834"
"989","6838"
"990","55061"
"991","55638"
"992","256126"
"993","6853"
"994","6854"
"995","9145"
"996","9144"
"997","171024"
"998","90196"
"999","83849"
"1000","6869"
"1001","55080"
"1002","374403"
"1003","54662"
"1004","55296"
"1005","6904"
"1006","6920"
"1007","140597"
"1008","85012"
"1009","6929"
"1010","6934"
"1011","10312"
"1012","6988"
"1013","9894"
"1014","7027"
"1015","80764"
"1016","7064"
"1017","7078"
"1018","7079"
"1019","64129"
"1020","9414"
"1021","7096"
"1022","7098"
"1023","147138"
"1024","255104"
"1025","284114"
"1026","80757"
"1027","92305"
"1028","222865"
"1029","81853"
"1030","100113407"
"1031","134285"
"1032","374882"
"1033","155006"
"1034","219854"
"1035","388335"
"1036","55219"
"1037","92162"
"1038","126259"
"1039","29767"
"1040","7127"
"1041","8764"
"1042","8742"
"1043","8741"
"1044","7137"
"1045","7145"
"1046","54472"
"1047","56993"
"1048","94241"
"1049","7177"
"1050","80305"
"1051","80342"
"1052","51399"
"1053","6737"
"1054","7726"
"1055","23650"
"1056","91107"
"1057","378108"
"1058","11078"
"1059","59341"
"1060","283989"
"1061","7102"
"1062","706"
"1063","23270"
"1064","90121"
"1065","7263"
"1066","54970"
"1067","158248"
"1068","199223"
"1069","55020"
"1070","283237"
"1071","7270"
"1072","23170"
"1073","25809"
"1074","7275"
"1075","25828"
"1076","10587"
"1077","7297"
"1078","7318"
"1079","10422"
"1080","134111"
"1081","54926"
"1082","127733"
"1083","91544"
"1084","51035"
"1085","83549"
"1086","55325"
"1087","89766"
"1088","7384"
"1089","7391"
"1090","83878"
"1091","389856"
"1092","9099"
"1093","7375"
"1094","54532"
"1095","8673"
"1096","81839"
"1097","57176"
"1098","10493"
"1099","79674"
"1100","50853"
"1101","27183"
"1102","128434"
"1103","375567"
"1104","220001"
"1105","155368"
"1106","116966"
"1107","89891"
"1108","11091"
"1109","11180"
"1110","84292"
"1111","92715"
"1112","51741"
"1113","7494"
"1114","6846"
"1115","2829"
"1116","7535"
"1117","100128927"
"1118","3104"
"1119","55063"
"1120","158866"
"1121","29800"
"1122","150244"
"1123","6935"
"1124","124961"
"1125","284406"
"1126","284307"
"1127","84217"
"1128","94039"
"1129","7691"
"1130","7568"
"1131","57209"
"1132","7580"
